Data,Último
04.07.2023,119.076
03.07.2023,119.673
30.06.2023,118.087
29.06.2023,118.383
28.06.2023,116.681
27.06.2023,117.523
26.06.2023,118.243
23.06.2023,118.977
22.06.2023,118.934
21.06.2023,120.42
20.06.2023,119.622
19.06.2023,119.858
16.06.2023,118.758
15.06.2023,119.221
14.06.2023,119.069
13.06.2023,116.743
12.06.2023,117.336
09.06.2023,117.019
07.06.2023,115.488
06.06.2023,114.61
05.06.2023,112.696
02.06.2023,112.558
01.06.2023,110.565
31.05.2023,108.335
30.05.2023,108.967
29.05.2023,110.333
26.05.2023,110.906
25.05.2023,110.054
24.05.2023,108.8
23.05.2023,109.929
22.05.2023,110.213
19.05.2023,110.745
18.05.2023,110.108
17.05.2023,109.46
16.05.2023,108.194
15.05.2023,109.029
12.05.2023,108.464
11.05.2023,108.256
10.05.2023,107.448
09.05.2023,107.114
08.05.2023,106.042
05.05.2023,105.148
04.05.2023,102.174
03.05.2023,101.797
02.05.2023,101.927
28.04.2023,104.432
27.04.2023,102.923
26.04.2023,102.312
25.04.2023,103.22
24.04.2023,103.947
20.04.2023,104.367
19.04.2023,103.913
18.04.2023,106.163
17.04.2023,106.016
14.04.2023,106.279
13.04.2023,106.458
12.04.2023,106.89
11.04.2023,106.214
10.04.2023,101.847
06.04.2023,100.822
05.04.2023,100.978
04.04.2023,101.869
03.04.2023,101.506
31.03.2023,101.882
30.03.2023,103.713
29.03.2023,101.793
28.03.2023,101.185
27.03.2023,99.67
24.03.2023,98.829
23.03.2023,97.926
22.03.2023,100.221
21.03.2023,100.998
20.03.2023,100.923
17.03.2023,101.982
16.03.2023,103.435
15.03.2023,102.675
14.03.2023,102.932
13.03.2023,103.121
10.03.2023,103.618
09.03.2023,105.071
08.03.2023,106.54
07.03.2023,104.228
06.03.2023,104.7
03.03.2023,103.866
02.03.2023,103.326
01.03.2023,104.385
28.02.2023,104.932
27.02.2023,105.711
24.02.2023,105.798
23.02.2023,107.593
22.02.2023,107.152
17.02.2023,109.177
16.02.2023,109.941
15.02.2023,109.6
14.02.2023,107.849
13.02.2023,108.836
10.02.2023,108.078
09.02.2023,108.008
08.02.2023,109.951
07.02.2023,107.83
06.02.2023,108.722
03.02.2023,108.523
02.02.2023,110.141
01.02.2023,112.074
31.01.2023,113.431
30.01.2023,112.273
27.01.2023,112.316
26.01.2023,114.178
25.01.2023,114.27
24.01.2023,113.028
23.01.2023,111.737
20.01.2023,112.041
19.01.2023,112.922
18.01.2023,112.228
17.01.2023,111.439
16.01.2023,109.213
13.01.2023,110.916
12.01.2023,111.85
11.01.2023,112.517
10.01.2023,110.817
09.01.2023,109.13
06.01.2023,108.964
05.01.2023,107.641
04.01.2023,105.334
03.01.2023,104.166
02.01.2023,106.376
29.12.2022,109.735
28.12.2022,110.237
27.12.2022,108.578
26.12.2022,108.738
23.12.2022,109.698
22.12.2022,107.552
21.12.2022,107.433
20.12.2022,106.864
19.12.2022,104.74
16.12.2022,102.856
15.12.2022,103.738
14.12.2022,103.746
13.12.2022,103.54
12.12.2022,105.343
09.12.2022,107.52
08.12.2022,107.249
07.12.2022,109.069
06.12.2022,110.189
05.12.2022,109.401
02.12.2022,111.924
01.12.2022,110.926
