Data,Último,ID,TIPO
30.11.2023,127.331,152,IBOVESPA
29.11.2023,126.166,153,IBOVESPA
28.11.2023,126.538,154,IBOVESPA
27.11.2023,125.731,155,IBOVESPA
24.11.2023,125.517,156,IBOVESPA
23.11.2023,126.576,157,IBOVESPA
22.11.2023,126.035,158,IBOVESPA
21.11.2023,125.626,159,IBOVESPA
20.11.2023,125.957,160,IBOVESPA
17.11.2023,124.773,161,IBOVESPA
16.11.2023,124.639,162,IBOVESPA
14.11.2023,123.166,163,IBOVESPA
13.11.2023,120.41,164,IBOVESPA
10.11.2023,120.568,165,IBOVESPA
09.11.2023,119.034,166,IBOVESPA
08.11.2023,119.177,167,IBOVESPA
07.11.2023,119.268,168,IBOVESPA
06.11.2023,118.431,169,IBOVESPA
03.11.2023,118.16,170,IBOVESPA
01.11.2023,115.053,171,IBOVESPA
31.10.2023,113.144,172,IBOVESPA
30.10.2023,112.532,173,IBOVESPA
27.10.2023,113.301,174,IBOVESPA
26.10.2023,114.777,175,IBOVESPA
25.10.2023,112.83,176,IBOVESPA
24.10.2023,113.762,177,IBOVESPA
23.10.2023,112.785,178,IBOVESPA
20.10.2023,113.155,179,IBOVESPA
19.10.2023,114.004,180,IBOVESPA
18.10.2023,114.06,181,IBOVESPA
17.10.2023,115.908,182,IBOVESPA
16.10.2023,116.534,183,IBOVESPA
13.10.2023,115.754,184,IBOVESPA
11.10.2023,117.051,185,IBOVESPA
10.10.2023,116.737,186,IBOVESPA
09.10.2023,115.156,187,IBOVESPA
06.10.2023,114.17,188,IBOVESPA
05.10.2023,113.284,189,IBOVESPA
04.10.2023,113.607,190,IBOVESPA
03.10.2023,113.419,191,IBOVESPA
02.10.2023,115.057,192,IBOVESPA
29.09.2023,116.565,193,IBOVESPA
28.09.2023,115.731,194,IBOVESPA
27.09.2023,114.327,195,IBOVESPA
26.09.2023,114.193,196,IBOVESPA
25.09.2023,115.925,197,IBOVESPA
22.09.2023,116.009,198,IBOVESPA
21.09.2023,116.145,199,IBOVESPA
20.09.2023,118.695,200,IBOVESPA
19.09.2023,117.846,201,IBOVESPA
18.09.2023,118.288,202,IBOVESPA
15.09.2023,118.758,203,IBOVESPA
14.09.2023,119.392,204,IBOVESPA
13.09.2023,118.176,205,IBOVESPA
12.09.2023,117.968,206,IBOVESPA
11.09.2023,116.883,207,IBOVESPA
08.09.2023,115.313,208,IBOVESPA
06.09.2023,115.985,209,IBOVESPA
05.09.2023,117.331,210,IBOVESPA
04.09.2023,117.777,211,IBOVESPA
01.09.2023,117.893,212,IBOVESPA
31.08.2023,115.742,213,IBOVESPA
30.08.2023,117.535,214,IBOVESPA
29.08.2023,118.404,215,IBOVESPA
28.08.2023,117.121,216,IBOVESPA
25.08.2023,115.837,217,IBOVESPA
24.08.2023,117.026,218,IBOVESPA
23.08.2023,118.135,219,IBOVESPA
22.08.2023,116.156,220,IBOVESPA
21.08.2023,114.429,221,IBOVESPA
18.08.2023,115.409,222,IBOVESPA
17.08.2023,114.982,223,IBOVESPA
16.08.2023,115.592,224,IBOVESPA
15.08.2023,116.171,225,IBOVESPA
14.08.2023,116.81,226,IBOVESPA
11.08.2023,118.065,227,IBOVESPA
10.08.2023,118.35,228,IBOVESPA
09.08.2023,118.409,229,IBOVESPA
08.08.2023,119.09,230,IBOVESPA
07.08.2023,119.38,231,IBOVESPA
